"clickAndWait","css=a[title=\"English\"]",EMPTY
"clickAndWait","link=Bald Eagles",EMPTY
"clickAndWait","link=plumage",EMPTY
"clickAndWait","link=budgerigar",EMPTY
"clickAndWait","link=cere",EMPTY
"clickAndWait","link=Anatidae",EMPTY
"clickAndWait","link=Runa Simi",EMPTY
"clickAndWait","link=Português",EMPTY
"clickAndWait","link=Marreca-cricri",EMPTY
"clickAndWait","css=span > a[title=\"Aves\"]",EMPTY
"clickAndWait","link=quivi",EMPTY
"clickAndWait","link=quivi",EMPTY
"clickAndWait","link=English",EMPTY
"clickAndWait","css=a[title=\"Visit the main page\"]",EMPTY
"clickAndWait","link=Afroyim v. Rusk",EMPTY
"clickAndWait","link=Bancroft Treaties",EMPTY
"clickAndWait","link=Expatriation",EMPTY
"clickAndWait","link=Current events",EMPTY
"clickAndWait","link=Euromaidan",EMPTY
"clickAndWait","css=a[title=\"Find background information on current events\"]",EMPTY
"click","link=19",EMPTY
"click","link=20",EMPTY
"clickAndWait","link=Pussy Riot",EMPTY
"clickAndWait","xpath=(//a[contains(text(),\'LGBT rights\')])[2]",EMPTY
"clickAndWait","link=Theodosian Code",EMPTY
"clickAndWait","link=Arian",EMPTY
"clickAndWait","link=Flacilla",EMPTY
"clickAndWait","link=Eastern Orthodox Church",EMPTY
"clickAndWait","link=Jesus",EMPTY
"clickAndWait","link=Christ",EMPTY
"clickAndWait","link=Messiah",EMPTY
"clickAndWait","link=Mary",EMPTY
"clickAndWait","link=Abdul Muttalib",EMPTY
"type","id=searchInput","prophet"
"clickAndWait","link=Profit",EMPTY
"clickAndWait","link=All pages beginning with \"Profit\"",EMPTY
"clickAndWait","link=Profit-a-pendre",EMPTY
